WorkType,Variable,SetIndex,Run,ExecutionTime(s),UsedHeap(MB),nTerms,nUpdates,Probability,BestSize,Tasks,Reduced,OriginMin,OriginMax
1_nTasks,15,5,1,9362.378000,633.200000,1,100,0.000800,0.00000012000000000000,T1;T4,3;17,1;14,3;24
1_nTasks,15,5,2,9323.367000,632.100000,1,100,0.000200,0.00000006000000000000,T1;T4,3;15,1;14,3;24
1_nTasks,15,5,3,10769.545000,624.900000,1,100,0.001200,0.00000012000000000000,T1;T4,3;17,1;14,3;24
1_nTasks,15,5,4,10749.039000,637.700000,1,100,0.001000,0.00000012000000000000,T1;T4,3;17,1;14,3;24
1_nTasks,15,5,5,10734.616000,636.600000,1,100,0.000800,0.00000015000000000000,T1;T4,3;18,1;14,3;24
1_nTasks,15,5,6,10759.711000,634.400000,1,100,0.000600,0.00000003000000000000,T1;T4,3;14,1;14,3;24
1_nTasks,15,5,7,10775.950000,612.600000,1,100,0.000100,0.00000003000000000000,T1;T4,3;14,1;14,3;24
1_nTasks,15,5,8,10731.074000,626.500000,1,100,0.030900,0.00000015000000000000,T1;T4,3;18,1;14,3;24
1_nTasks,15,5,9,10714.421000,628.500000,1,100,0.000600,0.00000009000000000000,T1;T4,3;16,1;14,3;24
1_nTasks,15,5,10,10700.173000,626.400000,1,100,0.005000,0.00000015000000000000,T1;T4,3;18,1;14,3;24
1_nTasks,15,6,1,9119.400000,639.900000,2,100,0.014700,0.00000090000000000000,T2;T7,27;395,25;366,43;610
1_nTasks,15,6,2,9102.185000,637.800000,2,100,0.011200,0.00000156000000000000,T2;T7,28;404,25;366,43;610
1_nTasks,15,6,3,11076.451000,639.200000,2,100,0.004900,0.00000081000000000000,T2;T7,27;392,25;366,43;610
1_nTasks,15,6,4,11020.005000,641.700000,2,100,0.086500,0.00000014000000000000,T2;T7,25;379,25;366,43;610
1_nTasks,15,6,5,10992.758000,636.100000,2,100,0.009300,0.00000096000000000000,T2;T7,27;397,25;366,43;610
1_nTasks,15,6,6,11007.342000,632.200000,2,100,0.004300,0.00000050000000000000,T2;T7,26;390,25;366,43;610
1_nTasks,15,6,7,10956.717000,641.000000,2,100,0.037500,0.00000081000000000000,T2;T7,27;392,25;366,43;610
1_nTasks,15,6,8,11070.961000,628.200000,2,100,0.006200,0.00000042000000000000,T2;T7,26;386,25;366,43;610
1_nTasks,15,6,9,10982.053000,632.100000,2,100,0.003500,0.00000042000000000000,T2;T7,26;386,25;366,43;610
1_nTasks,15,6,10,10997.151000,641.300000,2,100,0.004900,0.00000084000000000000,T2;T7,27;393,25;366,43;610
1_nTasks,15,7,1,8383.082000,883.000000,2,100,0.013300,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,2,8320.773000,906.500000,2,100,0.005500,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,3,10579.095000,764.600000,2,100,0.005400,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,4,10554.982000,748.000000,2,100,0.010800,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,5,10576.278000,744.900000,2,100,0.003900,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,6,10307.103000,898.000000,2,100,0.004200,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,7,10089.744000,907.000000,2,100,0.035400,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,8,11586.471000,631.200000,2,100,0.007200,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,9,11618.903000,721.300000,2,100,0.009900,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,7,10,11634.595000,634.300000,2,100,0.012300,0.00000001000000000000,T1;T15,2;33,2;33,4;55
1_nTasks,15,8,1,11685.965000,637.900000,1,100,0.001400,0.00000117000000000000,T6;T11,26;30,18;18,32;30
1_nTasks,15,8,2,11671.043000,737.200000,1,100,0.002400,0.00000130000000000000,T6;T11,27;30,18;18,32;30
1_nTasks,15,8,3,11266.299000,638.400000,1,100,0.006800,0.00000130000000000000,T6;T11,27;30,18;18,32;30
1_nTasks,15,8,4,11053.955000,634.200000,1,100,0.001200,0.00000104000000000000,T6;T11,25;30,18;18,32;30
1_nTasks,15,8,5,11114.806000,637.200000,1,100,0.001700,0.00000117000000000000,T6;T11,26;30,18;18,32;30
1_nTasks,15,8,6,10861.667000,753.900000,1,100,0.006900,0.00000130000000000000,T6;T11,27;30,18;18,32;30
1_nTasks,15,8,7,10790.354000,755.700000,1,100,0.001500,0.00000117000000000000,T6;T11,26;30,18;18,32;30
1_nTasks,15,8,8,11622.046000,637.700000,1,100,0.003900,0.00000130000000000000,T6;T11,27;30,18;18,32;30
1_nTasks,15,8,9,11562.422000,633.700000,1,100,0.002100,0.00000117000000000000,T6;T11,26;30,18;18,32;30
1_nTasks,15,8,10,11471.120000,637.900000,1,100,0.001800,0.00000117000000000000,T6;T11,26;30,18;18,32;30
1_nTasks,15,9,1,11618.586000,638.300000,1,100,0.001200,0.00000111000000000000,T10;T12,14;87,12;51,22;87
1_nTasks,15,9,2,11654.135000,635.400000,1,100,0.001900,0.00000185000000000000,T10;T12,16;87,12;51,22;87
1_nTasks,15,9,3,10273.980000,739.200000,1,100,0.001700,0.00000111000000000000,T10;T12,14;87,12;51,22;87
1_nTasks,15,9,4,10065.990000,722.400000,1,100,0.000100,0.00000037000000000000,T10;T12,12;87,12;51,22;87
1_nTasks,15,9,5,9452.259000,823.200000,1,100,0.000800,0.00000111000000000000,T10;T12,14;87,12;51,22;87
1_nTasks,15,9,6,10669.215000,638.300000,1,100,0.000500,0.00000074000000000000,T10;T12,13;87,12;51,22;87
1_nTasks,15,9,7,10492.629000,654.600000,1,100,0.002000,0.00000222000000000000,T10;T12,17;87,12;51,22;87
1_nTasks,15,9,8,10483.032000,742.800000,1,100,0.000200,0.00000037000000000000,T10;T12,12;87,12;51,22;87
1_nTasks,15,9,9,10505.984000,637.300000,1,100,0.001500,0.00000185000000000000,T10;T12,16;87,12;51,22;87
1_nTasks,15,9,10,9896.241000,772.200000,1,100,0.001900,0.00000148000000000000,T10;T12,15;87,12;51,22;87
1_nTasks,20,0,1,14251.243000,640.200000,2,100,0.000600,0.00001585000000000000,T7;T9,10;1072,6;756,10;1262
1_nTasks,20,0,2,14184.697000,729.900000,2,100,0.002100,0.00001525000000000000,T7;T9,10;1060,6;756,10;1262
1_nTasks,20,0,3,12828.833000,732.800000,2,100,0.000300,0.00001580000000000000,T7;T9,10;1071,6;756,10;1262
1_nTasks,20,0,4,12759.872000,739.000000,2,100,0.000500,0.00001390000000000000,T7;T9,10;1033,6;756,10;1262
1_nTasks,20,0,5,12655.306000,823.200000,2,100,0.000500,0.00001505000000000000,T7;T9,10;1056,6;756,10;1262
1_nTasks,20,0,6,14125.945000,685.300000,2,100,0.000500,0.00001390000000000000,T7;T9,10;1033,6;756,10;1262
1_nTasks,20,0,7,14112.662000,635.400000,2,100,0.001000,0.00001695000000000000,T7;T9,10;1094,6;756,10;1262
1_nTasks,20,0,8,14199.182000,637.100000,2,100,0.004300,0.00001745000000000000,T7;T9,10;1104,6;756,10;1262
1_nTasks,20,0,9,14109.298000,635.600000,1,100,0.002800,0.00001595000000000000,T7;T9,10;1074,6;756,10;1262
1_nTasks,20,0,10,14106.246000,640.200000,2,100,0.014700,0.00001365000000000000,T7;T9,10;1028,6;756,10;1262
1_nTasks,20,1,1,7100.108000,759.300000,2,100,0.000200,0.00000001000000000000,T8;T18,3;21,3;21,7;37
1_nTasks,20,1,2,6857.366000,901.800000,2,100,0.000400,0.00000064000000000000,T8;T18,6;36,3;21,7;37
1_nTasks,20,1,3,11943.903000,660.400000,2,100,0.000800,0.00000056000000000000,T8;T18,6;34,3;21,7;37
1_nTasks,20,1,4,11920.053000,635.500000,2,100,0.000900,0.00000060000000000000,T8;T18,7;32,3;21,7;37
1_nTasks,20,1,5,11915.661000,735.500000,2,100,0.000400,0.00000070000000000000,T8;T18,7;34,3;21,7;37
1_nTasks,20,1,6,14152.942000,587.800000,2,100,0.002200,0.00000070000000000000,T8;T18,7;34,3;21,7;37
1_nTasks,20,1,7,14263.239000,682.800000,2,100,0.000500,0.00000001000000000000,T8;T18,3;21,3;21,7;37
1_nTasks,20,1,8,14131.696000,638.800000,2,100,0.000500,0.00000065000000000000,T8;T18,7;33,3;21,7;37
1_nTasks,20,1,9,14159.823000,639.200000,2,100,0.000400,0.00000044000000000000,T8;T18,6;31,3;21,7;37
1_nTasks,20,1,10,14186.082000,639.600000,2,100,0.000100,0.00000060000000000000,T8;T18,7;32,3;21,7;37
1_nTasks,20,2,1,11405.387000,632.400000,2,100,0.000400,0.00001615000000000000,T11;T13,8;1091,4;769,8;1283
1_nTasks,20,2,2,11449.893000,616.100000,2,100,0.000300,0.00001960000000000000,T11;T13,8;1160,4;769,8;1283
1_nTasks,20,2,3,11466.142000,638.000000,2,100,0.022300,0.00001875000000000000,T11;T13,8;1143,4;769,8;1283
