WorkType,Variable,SetIndex,Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxNonHeap(MB),Counts,Positive,Negative
1_nTasks,15,8,3,9846.682000, 1024.000000,885.600000,1480.000000,19.900000, 20200,17983,2217
1_nTasks,15,8,4,10255.668000, 1024.000000,938.100000,1632.000000,19.400000, 20200,17841,2359
1_nTasks,15,8,5,10091.168000, 1024.000000,821.400000,1480.000000,19.300000, 20200,18200,2000
1_nTasks,15,8,6,10403.783000, 1024.000000,890.300000,1560.000000,19.200000, 20200,18013,2187
1_nTasks,15,8,7,10422.028000, 1024.000000,747.600000,1232.000000,19.700000, 20200,18472,1728
1_nTasks,15,8,8,10670.825000, 1024.000000,903.600000,1652.000000,19.600000, 20200,18215,1985
1_nTasks,15,8,9,10880.126000, 1024.000000,800.100000,1400.000000,19.500000, 20200,18328,1872
1_nTasks,15,8,10,11055.722000, 1024.000000,1050.600000,1776.000000,19.300000, 20200,18141,2059
1_nTasks,15,9,1,10396.549000, 1024.000000,855.800000,1480.000000,19.300000, 20200,19644,556
1_nTasks,15,9,2,10307.940000, 1024.000000,728.000000,1232.000000,19.600000, 20200,19749,451
1_nTasks,15,9,3,10267.816000, 1024.000000,744.600000,1232.000000,19.200000, 20200,19672,528
1_nTasks,15,9,4,10245.422000, 1024.000000,710.600000,1232.000000,19.400000, 20200,19725,475
1_nTasks,15,9,5,10517.120000, 1024.000000,692.400000,1232.000000,19.000000, 20200,19826,374
1_nTasks,15,9,6,9969.092000, 1024.000000,726.800000,1232.000000,19.400000, 20200,19817,383
1_nTasks,15,9,7,10003.239000, 1024.000000,732.900000,1232.000000,19.300000, 20200,19832,368
1_nTasks,15,9,8,10016.946000, 1024.000000,744.600000,1232.000000,19.100000, 20200,19753,447
1_nTasks,15,9,9,9999.579000, 1024.000000,840.700000,1488.000000,19.400000, 20200,19839,361
1_nTasks,15,9,10,10227.174000, 1024.000000,884.200000,1500.000000,19.300000, 20200,19736,464
1_nTasks,20,0,1,13749.167000, 1024.000000,668.200000,1232.000000,19.100000, 20200,19690,510
1_nTasks,20,0,2,13870.318000, 1024.000000,736.000000,1232.000000,19.300000, 20200,19492,708
1_nTasks,20,0,3,12723.262000, 1024.000000,740.900000,1232.000000,19.400000, 20200,19625,575
1_nTasks,20,0,4,12911.372000, 1024.000000,737.200000,1232.000000,19.200000, 20200,19020,1180
1_nTasks,20,0,5,12973.688000, 1024.000000,720.800000,1232.000000,19.600000, 20200,19610,590
1_nTasks,20,0,6,14396.179000, 1024.000000,852.900000,1480.000000,19.100000, 20200,19603,597
1_nTasks,20,0,7,14332.916000, 1024.000000,847.900000,1480.000000,19.800000, 20200,19616,584
1_nTasks,20,0,8,14308.769000, 1024.000000,889.600000,1560.000000,19.300000, 20200,19440,760
1_nTasks,20,0,9,14272.805000, 1024.000000,878.500000,1480.000000,19.500000, 20200,19117,1083
1_nTasks,20,0,10,14331.332000, 1024.000000,966.500000,1776.000000,18.900000, 20200,19104,1096
1_nTasks,20,1,1,10055.393000, 1024.000000,1012.800000,1776.000000,19.400000, 20200,20169,31
1_nTasks,20,1,2,10081.442000, 1024.000000,888.400000,1776.000000,19.400000, 20200,20167,33
1_nTasks,20,1,3,11437.484000, 1024.000000,874.900000,1480.000000,19.400000, 20200,20174,26
1_nTasks,20,1,4,11647.566000, 1024.000000,1040.400000,1736.000000,18.200000, 20200,20136,64
1_nTasks,20,1,5,11408.895000, 1024.000000,743.200000,1532.000000,19.200000, 20200,20183,17
1_nTasks,20,1,6,14362.649000, 1024.000000,863.300000,1500.000000,19.300000, 20200,20166,34
1_nTasks,20,1,7,14395.184000, 1024.000000,995.600000,1680.000000,19.600000, 20200,20163,37
1_nTasks,20,1,8,14482.443000, 1024.000000,765.800000,1348.000000,19.300000, 20200,20150,50
1_nTasks,20,1,9,14438.942000, 1024.000000,866.100000,1480.000000,19.900000, 20200,20091,109
1_nTasks,20,1,10,14472.187000, 1024.000000,829.000000,1480.000000,18.600000, 20200,20185,15
1_nTasks,20,2,1,10945.080000, 1024.000000,959.700000,1640.000000,19.200000, 20200,20059,141
1_nTasks,20,2,2,10690.119000, 1024.000000,767.600000,1480.000000,19.800000, 20200,20110,90
1_nTasks,20,2,3,10491.304000, 1024.000000,817.100000,1480.000000,19.500000, 20200,20108,92
1_nTasks,20,2,4,10585.281000, 1024.000000,870.400000,1480.000000,19.600000, 20200,20070,130
1_nTasks,20,2,5,10651.050000, 1024.000000,858.100000,1776.000000,19.500000, 20200,20103,97
1_nTasks,20,2,6,10992.120000, 1024.000000,862.100000,1480.000000,19.600000, 20200,20061,139
1_nTasks,20,2,7,11162.414000, 1024.000000,871.500000,1512.000000,19.100000, 20200,20097,103
1_nTasks,20,2,8,11130.017000, 1024.000000,1077.500000,1812.000000,19.400000, 20200,20118,82
1_nTasks,20,2,9,11224.983000, 1024.000000,878.500000,1480.000000,19.200000, 20200,19991,209
1_nTasks,20,2,10,11315.350000, 1024.000000,740.000000,1232.000000,19.100000, 20200,20060,140
1_nTasks,20,3,1,11615.262000, 1024.000000,1144.200000,1960.000000,19.800000, 20200,20173,27
1_nTasks,20,3,2,11896.341000, 1024.000000,1147.300000,1968.000000,18.800000, 20200,20172,28
1_nTasks,20,3,3,11869.126000, 1024.000000,948.100000,1784.000000,19.100000, 20200,20161,39
1_nTasks,20,3,4,11256.805000, 1024.000000,808.300000,1480.000000,19.900000, 20200,20189,11
1_nTasks,20,3,5,11405.002000, 1024.000000,862.100000,1480.000000,19.800000, 20200,20176,24
1_nTasks,20,3,6,11505.608000, 1024.000000,848.200000,1480.000000,19.700000, 20200,20158,42
1_nTasks,20,3,7,11742.867000, 1024.000000,882.000000,1480.000000,19.200000, 20200,20117,83
1_nTasks,20,3,8,11467.489000, 1024.000000,855.900000,1644.000000,19.600000, 20200,20183,17
1_nTasks,20,3,9,11693.800000, 1024.000000,894.700000,1556.000000,18.900000, 20200,20177,23
1_nTasks,20,3,10,11708.193000, 1024.000000,972.300000,1744.000000,19.000000, 20200,20184,16
1_nTasks,20,4,1,10830.481000, 1024.000000,778.500000,1480.000000,19.000000, 20200,20075,125
1_nTasks,20,4,2,11039.124000, 1024.000000,845.700000,1568.000000,19.600000, 20200,20081,119
1_nTasks,20,4,3,10564.431000, 1024.000000,880.900000,1480.000000,19.100000, 20200,20075,125
1_nTasks,20,4,4,10681.557000, 1024.000000,818.300000,1480.000000,19.400000, 20200,20072,128
1_nTasks,20,4,5,10819.193000, 1024.000000,710.000000,1480.000000,19.400000, 20200,19993,207
1_nTasks,20,4,6,10838.615000, 1024.000000,696.300000,1232.000000,19.300000, 20200,20028,172
1_nTasks,20,4,7,10815.697000, 1024.000000,724.000000,1232.000000,19.300000, 20200,20071,129
1_nTasks,20,4,8,10727.849000, 1024.000000,864.600000,1480.000000,19.500000, 20200,20077,123
1_nTasks,20,4,9,10695.052000, 1024.000000,707.200000,1232.000000,18.900000, 20200,20054,146
1_nTasks,20,4,10,11147.448000, 1024.000000,723.100000,1232.000000,19.200000, 20200,20083,117
1_nTasks,20,5,1,11494.127000, 1024.000000,880.400000,1528.000000,19.300000, 20200,18213,1987
1_nTasks,20,5,2,11304.017000, 1024.000000,866.000000,1480.000000,19.400000, 20200,18150,2050
1_nTasks,20,5,3,11269.983000, 1024.000000,877.100000,1480.000000,19.300000, 20200,18180,2020
1_nTasks,20,5,4,11028.207000, 1024.000000,870.000000,1480.000000,19.600000, 20200,18411,1789
1_nTasks,20,5,5,11085.555000, 1024.000000,771.100000,1480.000000,19.400000, 20200,17704,2496
1_nTasks,20,5,6,10963.019000, 1024.000000,865.400000,1480.000000,19.300000, 20200,17479,2721
1_nTasks,20,5,7,10907.718000, 1024.000000,733.700000,1232.000000,19.500000, 20200,18306,1894
1_nTasks,20,5,8,11195.700000, 1024.000000,849.600000,1480.000000,19.200000, 20200,18239,1961
1_nTasks,20,5,9,11492.343000, 1024.000000,1026.100000,1776.000000,19.300000, 20200,17734,2466
1_nTasks,20,5,10,11197.967000, 1024.000000,882.300000,1480.000000,19.300000, 20200,17996,2204
1_nTasks,20,6,1,10695.576000, 1024.000000,844.800000,1480.000000,19.200000, 20200,17688,2512
1_nTasks,20,6,2,11120.484000, 1024.000000,855.800000,1480.000000,18.900000, 20200,17611,2589
1_nTasks,20,6,3,10615.291000, 1024.000000,864.700000,1480.000000,19.400000, 20200,17203,2997
1_nTasks,20,6,4,10752.981000, 1024.000000,734.600000,1480.000000,19.400000, 20200,17950,2250
1_nTasks,20,6,5,8777.254000, 1024.000000,890.800000,1480.000000,19.500000, 20200,17192,3008
1_nTasks,20,6,6,10809.692000, 1024.000000,796.300000,1480.000000,19.300000, 20200,17737,2463
